n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
141,-21.0,-17.67,-13.0,1929.53,9125.511,10.475663900375366
142,-21.0,-17.6,-13.0,1946.73,9108.744,9.40831732749939
143,-21.0,-17.58,-13.0,1949.79,9081.677,8.983395099639893
144,-21.0,-17.58,-13.0,1947.13,9074.707,10.115816831588745
145,-21.0,-17.57,-13.0,1949.56,9145.457,10.557332754135132
146,-21.0,-17.48,-13.0,1965.63,9221.101,10.77674412727356
147,-21.0,-17.47,-13.0,1966.91,9092.421,10.502290964126587
148,-21.0,-17.41,-13.0,1975.87,8942.101,9.835930347442627
149,-21.0,-17.36,-13.0,1984.56,8674.419,9.269206285476685
150,-21.0,-17.37,-13.0,1986.28,8529.516,9.477879524230957
151,-21.0,-17.37,-13.0,1987.16,8521.527,10.430192232131958
152,-21.0,-17.35,-13.0,1995.81,8586.391,10.038880825042725
153,-21.0,-17.36,-13.0,1998.28,8689.258,10.046202421188354
154,-21.0,-17.29,-13.0,2011.17,8704.241,10.355642318725586
155,-21.0,-17.29,-13.0,2009.67,8598.195,9.518332958221436
156,-21.0,-17.3,-11.0,2014.58,8460.979,9.426166772842407
157,-21.0,-17.28,-11.0,2019.0,8375.959,9.63677716255188
158,-21.0,-17.27,-11.0,2021.06,8362.383,9.709708452224731
159,-21.0,-17.26,-11.0,2028.65,8492.773,10.577938795089722
160,-21.0,-17.27,-11.0,2031.81,8473.178,9.290109395980835
161,-21.0,-17.24,-11.0,2039.04,8601.384,11.66926884651184
162,-21.0,-17.26,-11.0,2039.93,8652.275,10.598918199539185
163,-21.0,-17.24,-11.0,2047.11,8686.717,10.343037605285645
164,-21.0,-17.25,-11.0,2042.48,8657.105,10.045801162719727
165,-21.0,-17.25,-11.0,2043.19,8682.086,9.775198698043823
166,-21.0,-17.32,-11.0,2040.96,8882.055,11.464182376861572
167,-21.0,-17.35,-11.0,2037.99,8849.351,9.303860187530518
168,-21.0,-17.25,-11.0,2060.57,8844.497,9.651551723480225
169,-21.0,-17.25,-11.0,2060.57,8899.437,11.112058639526367
170,-21.0,-17.23,-11.0,2063.72,9085.512,11.218470573425293
171,-21.0,-17.19,-11.0,2071.82,8991.684,10.765187978744507
172,-21.0,-17.21,-11.0,2075.77,8880.341,9.404783487319946
173,-21.0,-17.14,-11.0,2090.53,8739.796,8.969010591506958
174,-21.0,-17.14,-11.0,2090.53,8859.606,11.21376085281372
175,-21.0,-17.13,-11.0,2093.3,8798.229,9.264734506607056
176,-21.0,-17.13,-11.0,2093.3,8640.64,9.783931255340576
177,-21.0,-17.13,-11.0,2096.93,8726.365,10.189156770706177
178,-21.0,-17.13,-11.0,2096.93,8812.027,10.501123666763306
179,-21.0,-17.15,-11.0,2099.71,8731.877,10.312469244003296
180,-21.0,-17.17,-11.0,2093.7,8554.296,9.332084655761719
181,-21.0,-17.15,-11.0,2099.99,8512.887,10.351513862609863
182,-21.0,-17.16,-11.0,2100.52,8614.915,10.435672760009766
183,-21.0,-17.18,-11.0,2103.92,8834.91,11.153793096542358
184,-21.0,-17.18,-11.0,2107.87,8716.779,10.039926290512085
185,-21.0,-17.17,-11.0,2109.09,8868.37,10.669574975967407
186,-21.0,-17.18,-11.0,2106.75,8856.938,9.745509386062622
187,-21.0,-17.1,-11.0,2110.54,8860.715,10.259137868881226
188,-21.0,-17.1,-11.0,2114.52,8751.861,9.45689058303833
189,-21.0,-17.1,-11.0,2121.57,8714.522,10.002363920211792
190,-21.0,-17.11,-11.0,2125.05,8815.173,10.390508651733398
191,-21.0,-17.07,-11.0,2133.21,8737.236,9.615661144256592
192,-21.0,-17.13,-11.0,2130.59,8792.172,10.994089365005493
193,-21.0,-17.15,-11.0,2129.52,8604.031,9.296704769134521
194,-21.0,-17.2,-11.0,2121.43,8547.62,9.489986419677734
195,-21.0,-17.2,-11.0,2127.69,8612.964,11.309449434280396
196,-21.0,-17.2,-11.0,2127.69,8619.355,9.796676874160767
197,-21.0,-17.13,-11.0,2143.12,8660.859,10.62895679473877
198,-21.0,-17.15,-11.0,2137.07,8694.091,9.794697999954224
199,-21.0,-17.14,-11.0,2138.73,8756.152,10.572062015533447
200,-21.0,-17.1,-11.0,2142.39,8878.892,11.599116325378418
201,-21.0,-17.08,-11.0,2143.62,8950.835,10.341567516326904
202,-21.0,-17.1,-11.0,2141.78,8909.998,10.5619797706604
203,-21.0,-17.06,-11.0,2148.64,8979.908,9.98594045639038
204,-21.0,-17.03,-11.0,2153.42,9008.584,9.74792742729187
205,-21.0,-17.03,-11.0,2153.48,8891.549,10.121598482131958
206,-21.0,-16.94,-11.0,2165.67,8879.046,9.634204387664795
207,-21.0,-16.94,-11.0,2165.67,8835.812,10.195793390274048
208,-21.0,-16.94,-11.0,2163.37,8793.896,9.305760622024536
209,-21.0,-16.96,-11.0,2172.7,8780.727,10.409624814987183
210,-20.0,-16.97,-12.0,2172.03,8728.911,11.116273880004883
211,-20.0,-16.95,-12.0,2181.61,8740.735,10.41818618774414
