Num iters,Rwd avg
11402,-7.087262493235135
11452,-6.348466984425511
11502,-5.741524127949995
11552,-7.72682551975325
11602,-6.874775694964411
11652,-8.652237908209571
11702,-5.807802232281518
11752,-6.620749874639974
11802,-6.666735693577139
11852,-6.744607489080192
11902,-6.097655530241673
11952,-7.767310541623033
12002,-6.230936985925549
12052,-7.418727366828757
12102,-6.667241673582506
12152,-7.311859941066247
12202,-5.906392282367277
12252,-5.680050986695078
12302,-6.3870855693258335
12352,-6.8405834527333615
12402,-6.205279552431243
12452,-5.66903906557045
12502,-7.95058642019381
12552,-7.796895488887553
12602,-6.407366074080528
12652,-6.566061817064556
12702,-6.035768529529214
12752,-5.9299591312449556
12802,-7.065068024603746
12852,-5.082778183152094
12902,-7.521447810622957
12952,-7.369689879260173
13002,-7.612888154705434
13052,-6.46734341739695
13102,-6.24396588812334
13152,-7.79747634358074
13202,-7.574644262201074
13252,-7.0247584509023255
13302,-7.040065846475349
13352,-6.673992309247376
13402,-6.460297560563534
13452,-7.868151898102646
13502,-5.743255771515494
13552,-6.144747087730691
13602,-5.96949879936242
13652,-5.422265723282803
13702,-7.1252590910757085
13752,-6.313428628984774
13802,-5.891023295036117
13852,-6.82280792513279
13902,-6.214990472228442
13952,-5.523989681786119
14002,-5.589115855688374
14052,-6.812714452604633
14102,-6.562611572809677
14152,-6.158336685322614
