Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
1580,7606120,"[0.09765625, 2.41, 2.41, 2.51]","[0.0, 0.0, 0.0, 0.0]",1.787826418876648
1620,7993080,"[0.1015625, 2.57, 2.57, 2.67]","[0.0, 0.0, 0.0, 0.0]",1.781837047636509
1660,8389640,"[0.1015625, 2.63, 2.63, 2.74]","[0.0, 0.0, 0.0, 0.0]",1.742384969890118
1700,8795800,"[0.10546875, 2.8, 2.8, 2.91]","[0.0, 0.0, 0.0, 0.0]",1.779763686358929
1740,9211560,"[0.109375, 2.97, 2.97, 3.08]","[0.0, 0.0, 0.0, 0.0]",1.78517541795969
1780,9636920,"[0.109375, 3.04, 3.04, 3.15]","[0.0, 0.0, 0.0, 0.0]",1.776356129348278
1820,10071880,"[0.11328125, 3.22, 3.22, 3.33]","[0.0, 0.0, 0.0, 0.0]",1.7784998148679733
1860,10516440,"[0.1171875, 3.41, 3.41, 3.52]","[0.0, 0.0, 0.0, 0.0]",1.773512716591358
1900,10970600,"[0.1171875, 3.48, 3.48, 3.59]","[0.0, 0.0, 0.0, 0.0]",1.785968394577503
1940,11434360,"[0.12109375, 3.67, 3.67, 3.79]","[0.0, 0.0, 0.0, 0.0]",1.80414640545845
1980,11907720,"[0.12109375, 3.75, 3.75, 3.87]","[0.0, 0.0, 0.0, 0.0]",1.814370701909065
2020,12390680,"[0.125, 3.95, 3.95, 4.07]","[0.0, 0.0, 0.0, 0.0]",1.807095988988876
2060,12883240,"[0.12890625, 4.15, 4.15, 4.27]","[0.0, 0.0, 0.0, 0.0]",1.782552607953548
2100,13385400,"[0.12890625, 4.23, 4.23, 4.36]","[0.0, 0.0, 0.0, 0.0]",1.782031524181366
2140,13897160,"[0.1328125, 4.44, 4.44, 4.57]","[0.0, 0.0, 0.0, 0.0]",1.817419157922268
2180,14418520,"[0.13671875, 4.66, 4.66, 4.79]","[0.0, 0.0, 0.0, 0.0]",1.828103800714016
2220,14949480,"[0.13671875, 4.74, 4.74, 4.88]","[0.0, 0.0, 0.0, 0.0]",1.803580093979836
2260,15490040,"[0.140625, 4.97, 4.97, 5.1]","[0.0, 0.0, 0.0, 0.0]",1.8174172103405
2300,16040200,"[0.140625, 5.05, 5.05, 5.19]","[0.0, 0.0, 0.0, 0.0]",1.805580422580242
2340,16599960,"[0.14453125, 5.28, 5.28, 5.43]","[0.0, 0.0, 0.0, 0.0]",1.803209494948387
2380,17169320,"[0.1484375, 5.52, 5.52, 5.67]","[0.0, 0.0, 0.0, 0.0]",1.8109162425994873
2420,17748280,"[0.1484375, 5.61, 5.61, 5.76]","[0.0, 0.0, 0.0, 0.0]",1.821822061538696
2460,18336840,"[0.15234375, 5.86, 5.86, 6.01]","[0.0, 0.0, 0.0, 0.0]",1.843336002528667
2500,18935000,"[0.15625, 6.1, 6.1, 6.26]","[0.0, 0.0, 0.0, 0.0]",1.797942865788937
2540,19542760,"[0.15625, 6.2, 6.2, 6.36]","[0.0, 0.0, 0.0, 0.0]",1.808958938717842
2580,20160120,"[0.16015625, 6.46, 6.46, 6.61]","[0.0, 0.0, 0.0, 0.0]",1.829417843520641
2620,20787080,"[0.16015625, 6.56, 6.56, 6.72]","[0.0, 0.0, 0.0, 0.0]",1.81243439733982
