,Num iters,Mean rel error,Diff actions
134,6648,0.0928200023581273,15.02
135,6698,0.0880139737987658,15.48
136,6748,0.0953762089805211,15.93
137,6798,0.0900445526188472,15.32
138,6848,0.0847526860234094,14.92
139,6898,0.0776712340753991,15.03
140,6948,0.0795123673738911,14.43
141,6998,0.085781983833923,15.72
142,7048,0.0905326965497341,15.71
143,7098,0.0868729885011445,14.86
144,7148,0.082686499347398,15.25
145,7198,0.0874243465825682,15.14
146,7248,0.0884495757504133,15.329999999999998
147,7249,0.0892704018617514,14.9
148,7299,0.0755527121922699,15.32
149,7349,0.07527836502227,14.690000000000001
150,7399,0.0819077375026186,14.9
151,7449,0.0759190165714826,14.18
152,7499,0.0852746679687872,14.73
153,7549,0.0816823120548622,14.8
154,7599,0.0763729647723957,14.83
155,7649,0.080499316015141,15.47
156,7699,0.0843066671980545,14.73
157,7749,0.0867382990821963,14.8
158,7799,0.0811148102068575,14.690000000000001
159,7849,0.0832683059065137,15.24
160,7899,0.0857467007882194,15.77
161,7949,0.0876232900951057,15.85
162,7999,0.0806858677508542,15.219999999999999
163,8049,0.0850411878605606,15.54
164,8099,0.0697805752717191,15.08
165,8149,0.0776456357592484,14.780000000000001
166,8199,0.0857470107262954,14.85
167,8249,0.0853130946392426,14.23
168,8299,0.0846917756189825,15.27
169,8349,0.079557497741701,15.48
170,8399,0.0836502849754877,14.83
171,8449,0.0925330359064275,15.020000000000001
172,8499,0.0878130454977974,14.6
173,8549,0.0886312883271137,14.79
174,8599,0.0777444834545487,14.959999999999999
175,8649,0.0813371780008659,15.07
176,8699,0.0892192809993168,15.180000000000001
177,8749,0.0869594447613344,15.08
178,8799,0.0804806802591076,15.64
179,8849,0.0803438119779108,14.75
180,8899,0.0851427784591098,15.32
181,8949,0.0885413361406186,15.42
182,8999,0.0942700127782067,15.540000000000001
183,9049,0.0752976828209008,15.129999999999999
184,9099,0.0738177210469497,15.39
185,9149,0.0880862509778933,14.780000000000001
186,9199,0.0832790047771879,15.329999999999998
187,9249,0.0761470816961955,14.6
188,9299,0.0760940491715213,15.41
189,9349,0.0721850705652381,15.68
190,9399,0.0894603578574955,15.06
191,9449,0.0841737414530478,14.940000000000001
192,9499,0.0826342182710766,15.370000000000001
193,9549,0.0847448273479938,15.56
194,9599,0.0834804407051298,15.35
195,9649,0.0866700824562925,14.86
196,9699,0.0823600561340805,15.340000000000002
197,9749,0.0934354861375875,15.0
198,9799,0.086409255519812,15.23
199,9849,0.0888893591398606,14.950000000000001
200,9899,0.0839709070081822,14.809999999999999
201,9949,0.0945447811196092,14.6
