,Num iters,weights concentration
215,10600,9.27956129703194
216,10650,9.249665743111946
217,10700,9.254894916283956
218,10750,9.245201433307672
219,10800,9.167544619280005
220,10850,9.236161553187198
221,10900,9.104105082112516
222,10950,9.13104671697196
223,11000,9.185210964535807
224,11050,9.09555280618351
225,11100,9.235948991620663
226,11150,9.32941696203589
227,11200,9.406146375714796
228,11250,9.31794509638919
229,11300,9.28210862648976
230,11350,9.469087502293709
231,11400,9.480634956274056
232,11450,9.492811682842165
233,11500,9.468071475042088
234,11550,9.49745508935943
235,11600,9.546773356348504
236,11650,9.57791629246486
237,11700,9.609759435124348
238,11750,9.592047834607706
239,11800,9.664294841961112
240,11850,9.55869519532672
241,11900,9.4913829824457
242,11950,9.526064240987836
243,12000,9.56828471561491
244,12050,9.56876055200477
245,12100,9.553446323027472
